idArt,Author,Title,Abstract,Year
235,"Yakupovich A,Davison MA,Kharouta MZ,Turian J,Seder CW,Batus M,Fogg LF,Kalra D,Kosinski M,Taskesen T,Okwuosa TM",Heart dose and coronary artery calcification in patients receiving thoracic irradiation for lung cancer.,"Background: Thoracic irradiation (TIR) is associated with an increased risk of coronary artery disease (CAD) and coronary-related death. Lung cancer patients receive considerable doses of TIR, making them a high-risk population that may benefit from post-therapy surveillance. Coronary artery calcium (CAC) is a known biomarker of CAD development and may serve as a useful indicator of disease progression in this population. We hypothesized greater CAC progression in lung cancer patients subjected to higher whole heart radiation doses. Methods: CAC progression (pre- and >2 years post-TIR) from chest CT scans of lung cancer patients were evaluated. A 2:1 matched control population was established controlling for age, gender, race, and CT scan interval. Vessel-specific CAC presence, progression, and extension in pre- and post-interval CT studies was evaluated by two blinded reviewers using the ordinal method. Dosimetric treatment files were restored and contours of the whole heart and proximal left anterior descending artery (LAD) were created within existing plans to compute radiation doses (Pinnacle Treatment Planning Software). Binary logistic regression analysis identified factors predictive for CAC development. Multiple logistic regression analysis with hierarchal method was used to assess covariates. Results: Thirty-five patients and 65 controls (50% female) were evaluated; mean age 57 years, mean follow-up post-radiation 4.9±2.2 years. Average mean and maximum left anterior descending coronary artery (LAD) radiation doses were 19.9 Gy (95% CI, 14.1–25.7) and 30.7 Gy (95% CI, 23.8–37.5), respectively; 91.6% inter-observer variability. There was greater incidence of coronary calcification in irradiated patients (48.6% vs. 24.6%; P=0.01). In interval CT scans, a greater proportion of radiated patients demonstrated new coronary calcification (P=0.007) and extension within the LAD (P=0.003). Radiation exposure was the only independent predictor of new calcification (OR 3.1; 95% CI: 1.09–9.2). Conclusions: We identified both an increase in the development and progression of CAC in lung cancer patients receiving TIR. Future studies utilizing alternative cancer populations and larger sample sizes are necessary to further correlate radiographic and dosimetric observations to cardiovascular events.",2020 Mar 2020 Mar
236,"Ohno K,Okada T,Nakamura T,Koyama H",Sebaceous carcinoma of the breast predominantly characterized by intraductal growth: a case report.,"Background: Sebaceous carcinoma (SC) is frequently classified as periocular or extraocular. Extraocular SC is rare and mainly occurs in the head and neck, the major salivary glands, or oral mucosa. SC of the breast, lung, and ovary is particularly rare, and the few cases of SC of the breast predominantly exhibit intraductal growth. Case presentation: A 47-year-old Japanese woman was referred to our hospital with accumulated polymorphic calcification in the left breast which was detected using mammography. Ultrasonography revealed an irregular 13-mm mass in the left breast, and analysis of a core needle biopsy revealed noninvasive ductal carcinoma. Total mastectomy and sentinel lymph node biopsy were performed. Histopathology demonstrated that carcinoma in situ (CIS) represented a significant lesion, and the cytoplasm of tumor cells was clear with numerous minute vacuoles. Immunohistochemical analysis demonstrated that most tumor cells expressed adipophilin. Together, these findings led to a diagnosis of SC, mainly comprising CIS. Conclusions: We encountered a rare case of SC of the breast with predominant CIS.",2020 Dec
237,"Shioi A,Morioka T,Shoji T,Emoto M",The Inhibitory Roles of Vitamin K in Progression of Vascular Calcification.,"Vitamin K is a fat-soluble vitamin that is indispensable for the activation of vitamin K-dependent proteins (VKDPs) and may be implicated in cardiovascular disease (CVD). Vascular calcification is intimately associated with CV events and mortality and is a chronic inflammatory process in which activated macrophages promote osteoblastic differentiation of vascular smooth muscle cells (VSMCs) through the production of proinflammatory cytokines such as IL-1β, IL-6, TNF-α, and oncostatin M (OSM) in both intimal and medial layers of arterial walls. This process may be mainly mediated through NF-κB signaling pathway. Vitamin K has been demonstrated to exert anti-inflammatory effects through antagonizing NF-κB signaling in both in vitro and in vivo studies, suggesting that vitamin K may prevent vascular calcification via anti-inflammatory mechanisms. Matrix Gla protein (MGP) is a major inhibitor of soft tissue calcification and contributes to preventing both intimal and medial vascular calcification. Vitamin K may also inhibit progression of vascular calcification by enhancing the activity of MGP through facilitating its γ-carboxylation. In support of this hypothesis, the procalcific effects of warfarin, an antagonist of vitamin K, on arterial calcification have been demonstrated in several clinical studies. Among the inactive MGP forms, dephospho-uncarboxylated MGP (dp-ucMGP) may be regarded as the most useful biomarker of not only vitamin K deficiency, but also vascular calcification and CVD. There have been several studies showing the association of circulating levels of dp-ucMGP with vitamin K intake, vascular calcification, mortality, and CVD. However, additional larger prospective studies including randomized controlled trials are necessary to confirm the beneficial effects of vitamin K supplementation on CV health.",2020 Feb
238,"Herrmann M,Babler A,Moshkova I,Gremse F,Kiessling F,Kusebauch U,Nelea V,Kramann R,Moritz RL,McKee MD,Jahnen-Dechent W",Lumenal calcification and microvasculopathy in fetuin-A-deficient mice lead to multiple organ morbidity.,"The plasma protein fetuin-A mediates the formation of protein-mineral colloids known as calciprotein particles (CPP)–rapid clearance of these CPP by the reticuloendothelial system prevents errant mineral precipitation and therefore pathological mineralization (calcification). The mutant mouse strain D2,Ahsg-/- combines fetuin-A deficiency with the calcification-prone DBA/2 genetic background, having a particularly severe compound phenotype of microvascular and soft tissue calcification. Here we studied mechanisms leading to soft tissue calcification, organ damage and death in these mice. We analyzed mice longitudinally by echocardiography, X-ray-computed tomography, analytical electron microscopy, histology, mass spectrometry proteomics, and genome-wide microarray-based expression analyses of D2 wildtype and Ahsg-/- mice. Fetuin-A-deficient mice had calcified lesions in myocardium, lung, brown adipose tissue, reproductive organs, spleen, pancreas, kidney and the skin, associated with reduced growth, cardiac output and premature death. Importantly, early-stage calcified lesions presented in the lumen of the microvasculature suggesting precipitation of mineral containing complexes from the fluid phase of blood. Genome-wide expression analysis of calcified lesions and surrounding (not calcified) tissue, together with morphological observations, indicated that the calcification was not associated with osteochondrogenic cell differentiation, but rather with thrombosis and fibrosis. Collectively, these results demonstrate that soft tissue calcification can start by intravascular mineral deposition causing microvasculopathy, which impacts on growth, organ function and survival. Our study underscores the importance of fetuin-A and related systemic regulators of calcified matrix metabolism to prevent cardiovascular disease, especially in dysregulated mineral homeostasis.",2020
239,"Yoon YE,Kim KM,Lee W,Han JS,Chun EJ,Ahn S,Choi SI,Yun BL,Suh JW",Breast Arterial Calcification is Associated with the Progression of Coronary Atherosclerosis in Asymptomatic Women: A Preliminary Retrospective Cohort Study.,"We evaluated whether breast arterial calcification (BAC) is associated with the progression of coronary atherosclerosis in asymptomatic women. This retrospective observational cohort study analysed asymptomatic women from the BBC registry. In 126 consecutive women (age, 54.5 ± 7.0 years) who underwent BAC evaluation and repeated coronary computed tomography angiography (CCTA) examinations, the coronary arterial calcification score (CACS) and segment stenosis score (SSS) were evaluated to assess the progression of coronary arterial calcification (CAC) and coronary atherosclerotic plaque (CAP). CAC and CAP progression were observed in 42 (33.3%) and 26 (20.6%) women, respectively (median interscan time, 4.3 years), and were associated with the presence of BAC and a higher BAC score at baseline. Women with BAC demonstrated higher CAC and CAP progression rates and showed higher chances for CAC and CAP progression during follow-up (p < 0.001 for both). In multivariable analyses, the BAC score remained independently associated with both CAC and CAP progression rates after adjustment for clinical risk factors (β = 0.087, p = 0.029; and β = 0.020, p = 0.010, respectively) and with additional adjustment for baseline CACS (β = 0.080, p = 0.040; and β = 0.019, p = 0.012, respectively) or SSS (β = 0.079, p = 0.034; and β = 0.019, p = 0.011, respectively). Thus, BAC may be related to the progression of coronary atherosclerosis and its evaluation may facilitate decision-making.",2020
240,"Lee J,Prabhu D,Kolluru C,Gharaibeh Y,Zimin VN,Dallan LAP,Bezerra HG,Wilson DL",Fully automated plaque characterization in intravascular OCT images using hybrid convolutional and lumen morphology features.,"For intravascular OCT (IVOCT) images, we developed an automated atherosclerotic plaque characterization method that used a hybrid learning approach, which combined deep-learning convolutional and hand-crafted, lumen morphological features. Processing was done on innate A-line units with labels fibrolipidic (fibrous tissue followed by lipidous tissue), fibrocalcific (fibrous tissue followed by calcification), or other. We trained/tested on an expansive data set (6,556 images), and performed an active learning, relabeling step to improve noisy ground truth labels. Conditional random field was an important post-processing step to reduce classification errors. Sensitivities/specificities were 84.8%/97.8% and 91.4%/95.7% for fibrolipidic and fibrocalcific plaques, respectively. Over lesions, en face classification maps showed automated results that agreed favorably to manually labeled counterparts. Adding lumen morphological features gave statistically significant improvement (p < 0.05), as compared to classification with convolutional features alone. Automated assessments of clinically relevant plaque attributes (arc angle and length), compared favorably to those from manual labels. Our hybrid approach gave statistically improved results as compared to previous A-line classification methods using deep learning or hand-crafted features alone. This plaque characterization approach is fully automated, robust, and promising for live-time treatment planning and research applications.",2020
241,"van Velzen SGM,Lessmann N,Velthuis BK,Bank IEM,van den Bongard DHJG,Leiner T,de Jong PA,Veldhuis WB,Correa A,Terry JG,Carr JJ,Viergever MA,Verkooijen HM,Išgum I",Deep Learning for Automatic Calcium Scoring in CT: Validation Using Multiple Cardiac CT and Chest CT Protocols.,"Background: Although several deep learning (DL) calcium scoring methods have achieved excellent performance for specific CT protocols, their performance in a range of CT examination types is unknown. Purpose: To evaluate the performance of a DL method for automatic calcium scoring across a wide range of CT examination types and to investigate whether the method can adapt to different types of CT examinations when representative images are added to the existing training data set. Materials and Methods: The study included 7240 participants who underwent various types of nonenhanced CT examinations that included the heart: coronary artery calcium (CAC) scoring CT, diagnostic CT of the chest, PET attenuation correction CT, radiation therapy treatment planning CT, CAC screening CT, and low-dose CT of the chest. CAC and thoracic aorta calcification (TAC) were quantified using a convolutional neural network trained with (a) 1181 low-dose chest CT examinations (baseline), (b) a small set of examinations of the respective type supplemented to the baseline (data specific), and (c) a combination of examinations of all available types (combined). Supplemental training sets contained 199–568 CT images depending on the calcium burden of each population. The DL algorithm performance was evaluated with intraclass correlation coefficients (ICCs) between DL and manual (Agatston) CAC and (volume) TAC scoring and with linearly weighted κ values for cardiovascular risk categories (Agatston score; cardiovascular disease risk categories: 0, 1–10, 11–100, 101–400, >400). Results: At baseline, the DL algorithm yielded ICCs of 0.79–0.97 for CAC and 0.66–0.98 for TAC across the range of different types of CT examinations. ICCs improved to 0.84–0.99 (CAC) and 0.92–0.99 (TAC) for CT protocol–specific training and to 0.85–0.99 (CAC) and 0.96–0.99 (TAC) for combined training. For assignment of cardiovascular disease risk category, the κ value for all test CT scans was 0.90 (95% confidence interval [CI]: 0.89, 0.91) for the baseline training. It increased to 0.92 (95% CI: 0.91, 0.93) for both data-specific and combined training. Conclusion: A deep learning calcium scoring algorithm for quantification of coronary and thoracic calcium was robust, despite substantial differences in CT protocol and variations in subject population. Augmenting the algorithm training with CT protocol–specific images further improved algorithm performance.© RSNA, 2020See also the editorial by Vannier in this issue.",2020 Apr
242,"Lago MA,Sechopoulos I,Bochud FO,Eckstein MP",Measurement of the useful field of view for single slices of different imaging modalities and targets.,"Purpose: With three-dimensional (3-D) images displayed as stacks of 2-D images, radiologists rely more heavily on vision away from their fixation point to visually process information, guide eye movements, and detect abnormalities. Thus the ability to detect targets away from the fixation point, commonly characterized as the useful field of view (UFOV), becomes critical for these 3-D imaging modalities. We investigate how the UFOV, defined as the eccentricity, in which detection performance degrades to a given probability, varies across imaging modalities and targets.Approach: We measure the detectability of different targets at various distances from gaze locations for single slices of liver computed tomography (CT), 2-D digital mammograms (DM), and single slices of digital breast tomosynthesis (DBT) cases. Observers with varying expertise were instructed to maintain their gaze at a point while a short display of the image was flashed and an eye tracker verified observer’s steady fixation. Display times were 200 and 1000 ms for CT images and 500 ms for DM and DBT images.Results: We find variations in the UFOV from 9 to 12 deg for liver CT to as small as 2.5 to 5 deg for calcification clusters in breast images (DM and DBT). We compare our results to those reported in the literature for lung nodules and discuss the differences across methods used to measure the UFOV, their dependence on case selection/task difficulty, viewing conditions, and observer expertise. We propose a complementary measure defined in terms of performance degradation relative to the peak foveal performance (relative-UFOV) to circumvent UFOV’s variations with case selection/task difficulty.Conclusion: Our results highlight the variations in the UFOV across imaging modalities, target types, observer expertise, and measurement methods and suggest an additional relative-UFOV measure to more thoroughly characterize the detection performance away from point of fixation.",2020 Mar
243,"Wang L,Kou H,Chen W,Lu M,Zhou L,Zou C",The Diagnostic Value of Ultrasound in Medullary Thyroid Carcinoma: A Comparison With Computed Tomography.,"Purpose:: To explore the clinical value of ultrasound in the diagnosis of medullary thyroid carcinoma by comparing with enhanced computed tomography. Methods:: This retrospective study was performed on 62 patients with pathologically confirmed medullary thyroid carcinoma. All patients underwent ultrasound and enhanced computed tomography examinations before surgery. The findings of the pathologic examination of resected specimens were considered as gold standard and were compared with the results of these 2 methods. Results:: There were 73 medullary thyroid carcinoma lesions and 29 benign lesions in 62 patients. In all, 55 of 73 medullary thyroid carcinoma lesions and 27 of 29 benign lesions were correctly diagnosed by ultrasound; and 45 of 73 medullary thyroid carcinoma lesions and 24 of 29 benign lesions were correctly diagnosed by enhanced computed tomography. The accuracy of ultrasound and enhanced computed tomography was 80.4% and 67.6%, respectively. There was significant difference between 2 methods (P < .05). Conclusions:: Ultrasound can be used to observe the location, number, size, shape, border, internal echo, calcification, and blood flow of the lesion. It is a convenient, inexpensive, and nonradiative method with higher accuracy than enhanced computed tomography.",2020
244,"Fouad-Elhady EA,Aglan HA,Hassan RE,Ahmed HH,Sabry GM",Modulation of bone turnover aberration: A target for management of primary osteoporosis in experimental rat model.,"Osteoporosis is a skeletal degenerative disease characterised by abnormal bone turnover with scant bone formation and overabundant bone resorption. The present approach was intended to address the potency of nanohydroxyapatite (nHA), chitosan/hydroxyapatite nanocomposites (nCh/HA) and silver/hydroxyapatite nanoparticles (nAg/HA) to modulate bone turnover deviation in primary osteoporosis induced in the experimental model. Characterisation techniques such as TEM, zeta-potential, FT-IR and XRD were used to assess the morphology, the physical as well as the chemical features of the prepared nanostructures. The in vivo experiment was conducted on forty-eight adult female rats, randomised into 6 groups (8 rats/group), (1) gonad-intact, (2) osteoporotic group, (3) osteoporotic + nHA, (4) osteoporotic + nCh/HA, (5) osteoporotic + nAg/HA and (6) osteoporotic + alendronate (ALN). After three months of treatment, serum sclerostin (SOST), bone alkaline phosphatase (BALP) and bone sialoprotein (BSP) levels were quantified using ELISA. Femur bone receptor activator of nuclear factor-kappa B (NF-κB) ligand (RANKL) and cathepsin K (CtsK) mRNA levels were evaluated by quantitative RT-PCR. Moreover, alizarin red S staining was applied to determine the mineralisation intensity of femur bone. Findings in the present study indicated that treatment with nHA, nCh/HA or nAg/HA leads to significant repression of serum SOST, BALP and BSP levels parallel to a significant down-regulation of RANKL and CtsK gene expression levels. On the other side, significant enhancement in the calcification intensity of femur bone has been noticed. The outcomes of this experimental setting ascertained the potentiality of nHA, nCh/HA and nAg/HA as promising nanomaterials in attenuating the excessive bone turnover in the primary osteoporotic rat model. The mechanisms behind the efficacy of the investigated nanostructures involved the obstacle of serum and tissue indices of bone resorption besides the strengthening of bone mineralisation.",2020 Feb
245,"Schantl AE,Verhulst A,Neven E,Behets GJ,D’Haese PC,Maillard M,Mordasini D,Phan O,Burnier M,Spaggiari D,Decosterd LA,MacAskill MG,Alcaide-Corral CJ,Tavares AAS,Newby DE,Beindl VC,Maj R,Labarre A,Hegde C,Castagner B,Ivarsson ME,Leroux JC",Inhibition of vascular calcification by inositol phosphates derivatized with ethylene glycol oligomers.,"Myo-inositol hexakisphosphate (IP6) is a natural product known to inhibit vascular calcification (VC), but with limited potency and low plasma exposure following bolus administration. Here we report the design of a series of inositol phosphate analogs as crystallization inhibitors, among which 4,6-di-O-(methoxy-diethyleneglycol)-myo-inositol-1,2,3,5-tetrakis(phosphate), (OEG2)2-IP4, displays increased in vitro activity, as well as more favorable pharmacokinetic and safety profiles than IP6 after subcutaneous injection. (OEG2)2-IP4 potently stabilizes calciprotein particle (CPP) growth, consistently demonstrates low micromolar activity in different in vitro models of VC (i.e., human serum, primary cell cultures, and tissue explants), and largely abolishes the development of VC in rodent models, while not causing toxicity related to serum calcium chelation. The data suggest a mechanism of action independent of the etiology of VC, whereby (OEG2)2-IP4 disrupts the nucleation and growth of pathological calcification.",2020
246,"Healy A,Berus JM,Christensen JL,Lee C,Mantsounga C,Dong W,Watts JP,Assali M,Ceneri N,Nilson R,Neverson J,Wu WC,Choudhary G,Morrison AR",Statins Disrupt Macrophage Rac1 Regulation Leading to Increased Atherosclerotic Plaque Calcification.,"Objective:: Calcification of atherosclerotic plaque is traditionally associated with increased cardiovascular event risk; however, recent studies have found increased calcium density to be associated with more stable disease. HMG-CoA reductase inhibitors or “statins” reduce cardiovascular events. Invasive clinical studies have found that statins alter both the lipid and calcium composition of plaque, but the molecular mechanisms of statin-mediated effects on plaque calcium composition remain unclear. We recently defined a macrophage Rac-IL-1β signaling axis to be a key mechanism in promoting atherosclerotic calcification and sought to define the impact of statin therapy on this pathway. Approach and Results:: Here, we demonstrate that statin therapy is independently associated with elevated coronary calcification in a high-risk patient population and that statins disrupt the complex between Rac1 and its inhibitor, RhoGDI, leading to increased active (GTP-bound) Rac1 in primary monocytes/macrophages. Rac1 activation is prevented by rescue with the isoprenyl precursor geranylgeranyl diphosphate. Statin treated macrophages exhibit increased activation of NF-κB, increased IL-1β mRNA, and increased Rac1-dependent IL-1β protein secretion in response to inflammasome stimulation. Using an animal model of calcific atherosclerosis, inclusion of statin in the atherogenic diet led to a myeloid Rac1-dependent increase in atherosclerotic calcification, which was associated with increased serum IL-1β expression, increased plaque Rac1-activation, and increased plaque expression of the osteogenic markers, ALP and RUNX2. Conclusion:: Statins are capable of increasing atherosclerotic calcification through disinhibition of a macrophage Rac1-IL-1β signaling axis.",2020 Mar
247,"Wu S,Zou X,Sun Z,Zhu T,Wei X,Sui R",Unilateral retinocytoma associated with a variant in the RB1 gene.,"Background: Retinocytoma is a rare benign retinal tumor associated with variants in the RB1 gene. Ophthalmoscopic features can include a translucent retinal mass, calcification, retinal pigment epithelial alteration and chorioretinal atrophy. Methods: Detailed ophthalmological examinations were performed in a Chinese patient with retinocytoma and his daughter with bilateral retinoblastoma. Sanger sequencing was performed to detect RB1 genetic variants in the patient, his daughter and tumor tissue from his daughter. Results: A 33‐year‐old man presented with poor vision and strabismus in the right eye since childhood. Fundus examination revealed a round yellow‐white lesion stretching from the nasal side of the optic disc to the temporal periphery of the right eye. Sequencing result identified a reported variant (c.658C>G, p.Leu220Val) in the RB1 gene (NM_000321.2) of DNA extracted from peripheral blood of the patient and his daughter. The missense variant was also found in the tumor tissue from his daughter. Conclusions: We report detailed clinical features and genetic analysis of a case with unilateral retinocytoma. Retinocytoma has a wide range of clinical phenotypes; genetic testing is therefore a useful tool for the diagnosis of atypical cases.",2020 Apr
248,"Selvakumaran V,Hou R,Baker JA,Yoon SC,Ghate SV,Walsh R,Litton TP,Lu LX,Devalapalli A,Kim C,Soo MS,Hwang ES,Lo JY,Grimm LJ",Predicting upstaging of DCIS to invasive disease: radiologist’s predictive performance.,"Objectives:: The purpose of this study is to quantify breast radiologists’ performance at predicting occult invasive disease when DCIS presents as calcifications on mammography and to identify imaging and histopathological features that are associated with radiologists’ performance. Materials and Methods:: Mammographically detected calcifications that were initially diagnosed as DCIS on core biopsy and underwent definitive surgical excision between 2010 and 2015 were identified. Thirty cases of suspicious calcifications upstaged to invasive ductal carcinoma and 120 cases of DCIS confirmed at the time of definitive surgery were randomly selected. Nuclear grade, estrogen and progesterone receptor status, patient age, calcification long axis length, and breast density were collected. Ten breast radiologists who were blinded to all clinical and pathology data independently reviewed all cases and estimated the likelihood that the DCIS would be upstaged to invasive disease at surgical excision. Subgroup analysis was performed based on nuclear grade, long axis length, breast density and after exclusion of microinvasive disease. Results:: Reader performance to predict upstaging ranged from an AUC of 0.541 to 0.684 with a mean AUC of 0.620 (95% CI: 0.489–0.751). Performances improved for lesions smaller than 2 cm (AUC: 0.676 vs 0.500; p = 0.002). The exclusion of micro-invasive cases also improved performance (AUC: 0.651 vs 0.620; p = 0.005). There was no difference in performance based on breast density (p=0.850) or nuclear grade (p=0.270) Conclusion:: Radiologists were able to predict invasive disease better than chance, particularly for smaller DCIS lesions (<2 cm) and after the exclusion of microinvasive disease.",2020 Nov
249,"Opdebeeck B,D’Haese PC,Verhulst A",Molecular and Cellular Mechanisms that Induce Arterial Calcification by Indoxyl Sulfate and P-Cresyl Sulfate.,"The protein-bound uremic toxins, indoxyl sulfate (IS) and p-cresyl sulfate (PCS), are considered to be harmful vascular toxins. Arterial media calcification, or the deposition of calcium phosphate crystals in the arteries, contributes significantly to cardiovascular complications, including left ventricular hypertrophy, hypertension, and impaired coronary perfusion in the elderly and patients with chronic kidney disease (CKD) and diabetes. Recently, we reported that both IS and PCS trigger moderate to severe calcification in the aorta and peripheral vessels of CKD rats. This review describes the molecular and cellular mechanisms by which these uremic toxins induce arterial media calcification. A complex interplay between inflammation, coagulation, and lipid metabolism pathways, influenced by epigenetic factors, is crucial in IS/PCS-induced arterial media calcification. High levels of glucose are linked to these events, suggesting that a good balance between glucose and lipid levels might be important. On the cellular level, effects on endothelial cells, which act as the primary sensors of circulating pathological triggers, might be as important as those on vascular smooth muscle cells. Endothelial dysfunction, provoked by IS and PCS triggered oxidative stress, may be considered a key event in the onset and development of arterial media calcification. In this review a number of important outstanding questions such as the role of miRNA’s, phenotypic switching of both endothelial and vascular smooth muscle cells and new types of programmed cell death in arterial media calcification related to protein-bound uremic toxins are put forward and discussed.",2020 Jan
250,"You S,Sun JS,Park KJ,Koh YW",Amyloid deposition in thymic extranodal marginal zone lymphoma of mucosa‐associated lymphoid tissue in a patient with myasthenia gravis: A case report.,"Extranodal marginal zone lymphoma of mucosa‐associated lymphoid tissue (MALT) in the thymus is a rare disease. Furthermore, amyloid deposition in thymic MALT lymphoma has not been previously described. Here, we report a case of a 35‐year‐old man with thymic MALT lymphoma with amyloid deposition and myasthenia gravis. Chest computed tomography revealed an anterior mediastinal mass with internal cystic component and extensive calcification. Total thymectomy was performed and histopathologic findings were compatible with a diffuse amyloid deposition in extranodal marginal zone MALT lymphoma. The results indicate that thymic MALT lymphoma should be considered as a possible diagnosis in patients with a solid and cystic thymic mass and autoimmune disease, including myasthenia gravis.",2020 Mar
251,"Chen S,Wang J,Cai C,Xie X",N-myc Downstream-Regulated Gene 2 (NDRG2) Promotes Bone Morphogenetic Protein 2 (BMP2)-Induced Osteoblastic Differentiation and Calcification by Janus Kinase 3 (JAK3)/Signal Transducer and Activator of Transcription 3 (STAT3) Signaling Pathway.,"Background: Osteoporosis is an osteolytic disease resulted from imbalance in bone homeostasis. Studies indicated that N-myc downstream-regulated gene 2 (NDRG2) could affect the osteoclast differentiation. However, the effect of NDRG2 on osteoblastic differentiation and calcification remains unknown. Hence, we aimed to analyze the effect of NDRG2 on the proliferation and differentiation of osteoblasts. Material/Methods: The differentiation of bone morphogenetic protein 2 (BMP2) induced MC3T3-E1 cells was observed by the microscope. Real-time quantitative polymerase chain reaction (RT-qPCR) and western blot analysis detected the expression of BMP2, NDRG2, runt-related transcription factor 2 (Runx2), osteoprotegerin (OPG), osterix (OSX), and osteocalcin (OCN). Alkaline phosphatase (ALP) activity assay was detecting the ALP activity and alizarin red staining assay was analyzing intracellular calcium salt deposition. The cell transfection was also verified by RT-qPCR analysis. Results: The results demonstrated that BMP2 promoted the osteoblastic differentiation with the increasing expression of Runx2, OPG, OSX, and OCN. NDRG2 expression was upregulated during osteogenic differentiation. NDRG2 overexpression promoted the expression of Runx2, OPG, OSX, and OCN, and increased the ALP activity while NDRG2 inhibition reversed the changes. NDRG2 overexpression increased the intracellular calcium salt deposition and NDRG2 inhibition reversed the changes. The role of NDRG2 in osteoblastic differentiation and calcification was played through the JAK3/STAT3 signal pathway. Conclusions: The presented data indicated that NDRG2 promoted BMP2-induced osteoblastic differentiation and calcification by activating the JAK3/STAT3 signal pathway.",2020
252,"Gee T,Farrar E,Wang Y,Wu B,Hsu K,Zhou B,Butcher J",NFκB Activity Regulates Cell Type and Context Specific Susceptibility to Calcification in the Aortic Valve.,"Objective:: While often studied independently, little is known how aortic valve endothelial cells (VEC) and valve interstitial cells (VIC) interact collaborate to maintain tissue homeostasis or drive valve calcific pathogenesis. Inflammatory signaling is a recognized initiator of valve calcification, but the cell-type specific downstream mechanisms have not been elucidated. In this study, we test how inflammatory signaling via NFκB activity coordinates unique and shared mechanisms of VEC and VIC differentiation during calcific progression. Approach and Results:: Activated NFκB was present throughout the CAVD process in both endothelial and interstitial cell populations in an established mouse model of hypercholesterolemia-induced CAVD and in human CAVD. NFκB activity induces EndMT in 3D cultured aortic VEC and subsequent osteogenic calcification of transformed cells. Similarly, 3D cultured VIC calcified via NFκB mediated osteogenic differentiation. NFκB mediated EndMT was directly demonstrated in vivo during CAVD via genetic lineage tracking. Genetic deletion of NFκB in either whole valves or valve endothelium only was sufficient to prevent valve specific molecular and cellular mechanisms of CAVD in vivo despite the persistence of a CAVD inducing environment. Conclusion:: Our results identify NFκB signaling as an essential molecular regulator for both valve endothelial and interstitial participation in CAVD pathogenesis. Direct demonstration of VEC EndMT transmigration in vivo during CAVD highlights a new cellular population for further investigation in CAVD morbidity. The efficacy of valve-specific NFκB modulation in inhibiting hypercholesterolemic CAVD suggests potential benefits of multi-cell type integrated investigation for biological therapeutic development and evaluation for CAVD.",2020 Mar
253,"Huang Z,Wang SL,Huang QS,Li XD,Chen H,Lin JH",Clinicopathological value of ErbB2 gene and protein expression in osteochondroma.,"Objective: The aim of this study was to investigate ErbB2 expression in osteochondroma and its relationship with clinicopathologic features of osteochondroma, so as to identify a new biomarker for the malignant transformation potential of osteochondroma. Methods: Immunohistochemistry (IHC) and fluorescence in situ hybridization (FISH) were used to investigate the expression status of ErbB2 protein and gene in 30 osteochondroma tissues and 20 non-neoplastic bone tissues. The association of ErbB2 gene and protein expression with clinicopathological parameters of osteochondroma was analyzed by using the χ2 test and Fishers exact test. Results: ErbB2 protein was found to be over-expressed in 4 of 30 (13.3%) osteochondromas and 1 of 20 (5%) non-neoplastic bone samples, which were not statistically significant (p=0.336). However, 13 of the 30 (43.3%) osteochondromas showed ErbB2 gene amplification, which was failed to be observed in any of the non-neoplastic bone tissue. ErbB2 gene amplification in osteochondroma was significantly higher compared with that in non-neoplastic bone tissue (p=0.001). In addition, the ErbB2 gene amplification was closely associated with clinical pathological parameters of osteochondroma, including high expression of cellularity (p=0.001), presence of binucleated cells (p=0.001), nuclear pleomorphism (p=0.003), calcification (p=0.002), nodularity (p=0.002), necrosis (p=0.009) and cartilage thickness (p=0.026). The association of the gene amplification with other clinicopathological parameters of osteochondroma, including permeation of trabecular bone, cystic/mucoid changes, mitosis, radiographic appearance, cap volume and subtype of osteochondroma was not observed. The over-expression of ErbB2 protein was not found to be associated with the above stated clinical pathological parameters of osteochondroma. Conclusion: ErbB2 gene amplification was associated with adverse clinicopathological status of osteochondroma and could serve as an index for malignant conversion of osteochondroma. Further research is required to verify the predictive values of ErbB2 for osteochondroma. Level of Evidence: Level IV, Diagnostic Study",2020 Jan
